Datum,Viral_Pot,Value_Infectious,Free_Viral,Viralität_in_Proz,Viralität_pro_X,Dunkelziffer,Menschen_mit_Viruskontakt,Geimpfte,Viral_Pot_Plus,Value_Infectious_Plus,Free_Viral_Plus,Viralität_in_Proz_Plus,Viralität_pro_X_Plus,Dunkelziffer_Plus,Menschen_mit_Viruskontakt_Plus,Geimpfte_Plus,Viral_Pot_Opt,Value_Infectious_Opt,Free_Viral_Opt,Viralität_in_Proz_Opt,Viralität_pro_X_Opt,Dunkelziffer_Opt,Menschen_mit_Viruskontakt_Opt,Geimpfte_Opt,Viral_Pot_Pess,Value_Infectious_Pess,Free_Viral_Pess,Viralität_in_Proz_Pess,Viralität_pro_X_Pess,Dunkelziffer_Pess,Menschen_mit_Viruskontakt_Pess,Geimpfte_Pess
2021-06-07,7480.374999999992,0.14188029188594595,2570.0664063117583,0.03023607536837363,0.0003023607536837363,1.7500000000000009,20.573117364104956,2414500.0,7907.825000000018,0.12729615265156122,3111.5446446176616,0.0366064075837372,0.00036606407583737196,1.8500000000000005,20.715239349518022,2414500.0,6736.51275000004,0.1570098203328908,2075.0748050223865,0.024412644764969255,0.00024412644764969254,1.6500000000000012,20.330098325268903,2414500.0,8335.275000000029,0.12033136587571379,3515.232484897082,0.041355676292906846,0.0004135567629290685,1.9500000000000002,20.852484932734257,2414500.0
2021-06-08,6707.924999999991,0.1924362522937177,2061.8388381705813,0.02425692750788919,0.0002425692750788919,1.7500000000000009,20.578260873493534,2464500.0,7091.235000000018,0.1708066698073959,2548.519235735308,0.029982579243944804,0.00029982579243944803,1.8500000000000005,20.72073591060741,2464500.0,6046.598250000039,0.2150507622901871,1639.0701062492087,0.019283177720578925,0.00019283177720578925,1.6500000000000012,20.334692379497056,2464500.0,7474.545000000028,0.1606513931302927,2905.9439398676695,0.034187575763149056,0.00034187575763149053,1.9500000000000002,20.858334824556355,2464500.0
2021-06-09,6442.09999999999,0.18301247027915382,1894.973902611757,0.022293810618961848,0.00022293810618961849,1.7500000000000009,20.58504309826698,2514500.0,6810.2200000000175,0.1596996919390149,2362.008184823543,0.027788331586159332,0.0002778833158615933,1.8500000000000005,20.727893891862628,2514500.0,5819.319000000039,0.20710595984966265,1502.5902983661495,0.0176775329219547,0.000176775329219547,1.6500000000000012,20.340843551745145,2514500.0,7178.340000000029,0.1490422247668142,2703.404966294141,0.031804764309342835,0.00031804764309342835,1.9500000000000002,20.865868506619815,2514500.0
2021-06-10,5995.674999999989,0.18622784731344652,1549.7363800882272,0.01823219270692032,0.0001823219270692032,1.7500000000000009,20.588262865457466,2564500.0,6338.285000000018,0.16046039763660713,1984.8604096764848,0.02335129893737041,0.0002335129893737041,1.8500000000000005,20.73133651965902,2564500.0,5427.171750000039,0.21249838494425605,1208.5943468802666,0.014218757022120785,0.00014218757022120784,1.6500000000000012,20.343717418905253,2564500.0,6680.8950000000295,0.14890132776051382,2298.240464955906,0.027038123117128304,0.00027038123117128306,1.9500000000000002,20.86953417844506,2564500.0
2021-06-11,5752.5999999999885,0.15976220148797518,1693.0656189646973,0.019918419046643498,0.00019918419046643498,1.7500000000000009,20.592056061810183,2614500.0,6081.320000000018,0.13741570282797005,2108.268963058838,0.02480316427128045,0.0002480316427128045,1.8500000000000005,20.7352800909759,2614500.0,5215.749000000038,0.18224676892409108,1351.6127122475596,0.015901326026441877,0.00015901326026441877,1.6500000000000012,20.34721994858637,2614500.0,6410.040000000029,0.12740395497682516,2412.587988352964,0.028383388098270165,0.00028383388098270166,1.9500000000000002,20.87362781152239,2614500.0
2021-06-12,5674.724999999988,0.12578290584010118,1830.238311970579,0.021532215434947988,0.0002153221543494799,1.7500000000000009,20.598319178653487,2664500.0,5998.995000000017,0.10878348145007655,2238.126144794131,0.026330895821107425,0.00026330895821107426,1.8500000000000005,20.74192569522354,2664500.0,5151.110250000038,0.14261126335135513,1481.1329028967364,0.017425092975255723,0.00017425092975255723,1.6500000000000012,20.352927016415638,2664500.0,6323.2650000000285,0.10108867962065726,2541.264857338258,0.02989723361574421,0.0002989723361574421,1.9500000000000002,20.880656019223668,2664500.0
2021-06-13,4989.774999999987,0.13192381086388866,1521.9299033588136,0.01790505768657428,0.0001790505768657428,1.7500000000000009,20.60037417535323,2714500.0,5274.905000000016,0.11498800244858409,1880.3089117941304,0.02212128131522506,0.00022121281315225062,1.8500000000000005,20.744236701602738,2714500.0,4533.949200000037,0.14920122903661961,1223.2046606993238,0.014390643067050868,0.00014390643067050868,1.6500000000000012,20.35465608859537,2714500.0,5560.035000000028,0.10721232206860214,2144.920086132375,0.025234353954498533,0.00025234353954498533,1.9500000000000002,20.883223689165376,2714500.0
2021-06-14,4404.574999999987,0.16009199788078932,1288.6758445117548,0.015160892288373586,0.00015160892288373587,1.7625000000000008,20.607264933005325,2764500.0,4656.265000000016,0.13884506702023988,1604.592222029424,0.01887755555328734,0.00018877555553287341,1.8625000000000005,20.751372833943034,2764500.0,4005.926100000036,0.18205916724167415,1030.1456158094406,0.01211936018599342,0.0001211936018599342,1.6625000000000012,20.361126101222247,2764500.0,4907.955000000027,0.12915442962259732,1836.8594141911979,0.02161011075519056,0.00021610110755190562,1.9625000000000001,20.890604496062895,2764500.0
2021-06-15,3877.124999999987,0.2018958786124745,987.4590910058727,0.011617165776539679,0.00011617165776539678,1.7750000000000008,20.609956471724885,2814500.0,4098.675000000016,0.17365214232457143,1265.3581740882473,0.01488656675397938,0.0001488656675397938,1.8750000000000004,20.754243234875485,2814500.0,3529.7955000000356,0.23102121376095097,770.3963472367341,0.009063486438079225,9.063486438079224e-05,1.6750000000000012,20.363561326256153,2814500.0,4320.225000000028,0.16092245080292944,1466.4945228088452,0.01725287673892759,0.0001725287673892759,1.975,20.893653877451538,2814500.0
2021-06-16,3618.787499999987,0.18432596853681252,837.4923967499905,0.009852851726470475,9.852851726470475e-05,1.7875000000000008,20.613017287793696,2864500.0,3825.4575000000154,0.15561126167480263,1096.2982057500117,0.012897625950000137,0.00012897625950000137,1.8875000000000004,20.75748239693053,2864500.0,3298.8194250000356,0.2133875032676772,641.845333962028,0.007551121576023859,7.551121576023859e-05,1.687500000000001,20.366357038142322,2864500.0,4032.127500000028,0.14302715365202837,1281.8728061250217,0.015080856542647314,0.00015080856542647314,1.9875,20.897071401734568,2864500.0
